iter	Passed	Remaining
424	1718	2324
425	1721	2319
426	1725	2315
427	1728	2309
428	1731	2304
429	1734	2299
430	1738	2294
431	1741	2289
432	1744	2284
433	1748	2279
434	1751	2274
435	1754	2269
436	1757	2264
437	1761	2259
438	1764	2254
439	1767	2249
440	1770	2244
441	1774	2239
442	1777	2234
443	1780	2229
444	1783	2224
445	1786	2219
446	1790	2214
447	1793	2209
448	1796	2204
449	1800	2200
450	1803	2195
451	1806	2190
452	1809	2185
453	1813	2180
454	1816	2176
455	1820	2171
456	1823	2166
457	1826	2161
458	1830	2157
459	1833	2152
460	1836	2147
461	1839	2142
462	1843	2137
463	1846	2133
464	1849	2128
465	1852	2123
466	1856	2118
467	1859	2113
468	1862	2108
469	1865	2104
470	1869	2099
471	1872	2094
472	1875	2089
473	1878	2085
474	1882	2080
475	1885	2075
476	1888	2070
477	1891	2066
478	1895	2061
479	1898	2056
480	1901	2051
481	1904	2046
482	1907	2042
483	1911	2037
484	1914	2032
485	1917	2028
486	1920	2023
487	1924	2018
488	1927	2013
489	1930	2009
490	1933	2004
491	1937	2000
492	1940	1995
493	1943	1990
494	1947	1986
495	1950	1981
496	1953	1977
497	1957	1972
498	1960	1968
499	1963	1963
500	1966	1959
501	1971	1956
502	1975	1951
503	1978	1947
504	1982	1942
505	1985	1938
506	1988	1933
507	1992	1929
508	1995	1924
509	1998	1920
510	2002	1915
511	2005	1911
512	2008	1906
513	2012	1902
514	2015	1897
515	2018	1893
516	2021	1888
517	2024	1884
518	2028	1879
519	2031	1875
520	2034	1870
521	2037	1866
522	2041	1861
523	2044	1856
524	2047	1852
525	2050	1847
526	2053	1843
527	2057	1839
528	2060	1834
529	2063	1830
530	2067	1825
531	2070	1821
532	2074	1817
533	2077	1812
534	2080	1808
535	2083	1803
536	2086	1799
537	2090	1794
538	2093	1790
539	2096	1786
540	2099	1781
541	2103	1777
542	2107	1773
543	2110	1768
544	2113	1764
545	2116	1760
546	2120	1755
547	2123	1751
548	2126	1747
549	2130	1742
550	2133	1738
551	2136	1734
552	2140	1729
553	2143	1725
554	2146	1721
555	2150	1717
556	2153	1712
557	2156	1708
558	2160	1704
559	2163	1699
560	2166	1695
561	2169	1691
562	2173	1686
563	2176	1682
564	2179	1678
565	2183	1674
566	2186	1670
567	2190	1665
568	2193	1661
569	2196	1657
570	2199	1652
571	2203	1648
572	2206	1644
573	2209	1639
574	2212	1635
575	2216	1631
576	2219	1627
577	2222	1622
578	2226	1618
579	2229	1614
580	2232	1610
581	2235	1605
582	2239	1601
583	2242	1597
584	2245	1593
585	2248	1588
586	2252	1584
587	2255	1580
588	2258	1576
589	2261	1571
590	2265	1567
591	2268	1563
592	2271	1559
593	2274	1554
594	2278	1550
595	2281	1546
596	2284	1542
597	2287	1538
598	2291	1533
599	2294	1529
600	2297	1525
601	2301	1521
602	2304	1517
603	2307	1512
604	2310	1508
605	2314	1504
606	2317	1500
607	2320	1495
608	2323	1491
609	2327	1487
610	2330	1483
611	2333	1479
612	2337	1475
613	2340	1471
614	2343	1466
615	2346	1462
616	2350	1458
617	2353	1454
618	2356	1450
619	2360	1446
620	2365	1443
621	2369	1439
622	2372	1435
623	2376	1431
624	2379	1427
625	2382	1423
626	2385	1419
627	2389	1415
628	2392	1411
629	2395	1407
630	2399	1402
631	2402	1398
632	2405	1394
633	2409	1391
634	2412	1386
635	2416	1382
636	2419	1378
637	2422	1374
638	2426	1370
639	2429	1366
640	2432	1362
641	2435	1358
642	2439	1354
643	2442	1350
644	2445	1346
645	2448	1341
646	2452	1337
647	2455	1333
648	2458	1329
649	2462	1325
650	2465	1321
651	2469	1317
652	2472	1313
653	2475	1309
654	2479	1306
655	2483	1302
656	2487	1298
657	2490	1294
658	2494	1290
659	2497	1286
660	2501	1282
661	2504	1278
662	2507	1274
663	2511	1270
664	2514	1266
665	2517	1262
666	2520	1258
667	2524	1254
668	2527	1250
669	2530	1246
670	2533	1242
671	2536	1238
672	2540	1234
673	2543	1230
674	2546	1226
675	2549	1222
676	2552	1218
677	2556	1214
678	2559	1210
679	2562	1206
680	2566	1202
681	2569	1198
682	2572	1194
683	2576	1190
684	2579	1186
685	2582	1182
686	2586	1178
687	2589	1174
