iter	RMSE
179	831.5601556
180	831.4122339
181	831.1941159
182	831.0706536
183	830.9127521
184	830.7468334
185	830.6142273
186	830.4824245
187	830.3118921
188	830.1649799
189	830.0683736
190	829.8906496
191	829.776815
192	829.6278393
193	829.4984507
194	829.285144
195	829.055726
196	828.9550429
197	828.8166464
198	828.4793114
199	828.3478899
200	828.2645366
201	828.0985746
202	827.9383428
203	827.78152
204	827.6329436
205	827.4793736
206	827.3154382
207	827.1687113
208	827.0744586
209	826.9516933
210	826.7949406
211	826.6545423
212	826.507001
213	826.3474031
214	826.2106867
215	826.0832344
216	825.9278775
217	825.7958778
218	825.6865609
219	825.5130728
220	825.3814612
221	825.2503651
222	825.1234298
223	825.0583551
224	824.9805807
225	824.8425458
226	824.6957881
227	824.587838
228	824.4525757
229	824.3164849
230	824.0790482
231	824.0350405
232	823.8875302
233	823.6660352
234	823.5655325
235	823.2738465
236	823.0675147
237	822.9773876
238	822.8164074
239	822.6664654
240	822.4801008
241	822.2868339
242	822.1319451
243	821.9578488
244	821.7927208
245	821.660302
246	821.5655231
247	821.4616265
248	821.2435426
249	821.0079631
250	820.7098766
251	820.5720036
252	820.4148294
253	820.2689606
254	820.1313388
255	820.0093825
256	819.8327566
257	819.7665769
258	819.6107247
259	819.4804612
260	819.3107748
261	819.1655832
262	819.0163093
263	818.9303264
264	818.8188559
265	818.6584285
266	818.5444495
267	818.359777
268	818.2191217
269	818.0361615
270	817.9200764
271	817.8098845
272	817.6822849
273	817.5622487
274	817.4192975
275	817.3406411
276	817.1858144
277	816.9612925
278	816.8000458
279	816.6699934
280	816.544407
281	816.393709
282	816.2705494
283	816.1143794
284	815.9535387
285	815.7779259
286	815.6398016
287	815.5113318
288	815.4507047
289	815.305898
290	815.1413875
291	815.0612169
292	814.8905596
293	814.7723917
294	814.6053752
295	814.5336639
296	814.3897876
297	814.2568994
298	814.129259
299	813.9758383
300	813.7865631
301	813.6775981
302	813.5574748
303	813.4330132
304	813.3073041
305	813.2058771
306	813.0986122
307	812.9721755
308	812.7830062
309	812.6582167
310	812.5433173
311	812.3868664
312	812.2545767
313	812.1104222
314	811.9378855
315	811.7476693
316	811.6004966
317	811.5599477
318	811.3875754
319	811.3172315
320	811.1386504
321	811.0103477
322	810.9254937
323	810.7168078
324	810.6159553
325	810.5043023
326	810.3758677
327	810.2546631
328	810.0885184
329	810.0436282
330	809.9041581
331	809.7539644
332	809.6099898
333	809.5258591
334	809.4060807
335	809.3160464
336	809.2654723
337	809.1379952
338	808.9779425
339	808.8439842
340	808.7337978
341	808.6064973
342	808.5991963
343	808.4385122
344	808.3093902
345	808.1257234
346	807.9856852
347	807.8387243
348	807.7273886
349	807.5453841
350	807.3995558
351	807.290776
352	807.1965836
353	807.0742322
354	806.9925743
355	806.914013
356	806.8381572
357	806.6697565
358	806.467433
359	806.3383958
360	806.225793
361	806.0676764
362	805.8797578
363	805.7527395
364	805.6765249
365	805.5378495
366	805.3664123
367	805.264542
368	805.1413119
369	805.0252609
370	804.9028775
371	804.7296425
372	804.6483328
373	804.4952074
374	804.3566505
375	804.2415583
376	804.1088026
377	804.0220255
378	803.9455266
379	803.8571794
380	803.6950595
381	803.6008109
382	803.5040928
383	803.3916465
384	803.2628341
385	803.1272291
386	802.9763145
387	802.8818146
388	802.77247
389	802.5832881
390	802.4505075
391	802.3403541
392	802.2058376
393	802.0729215
394	801.9076834
395	801.7681898
396	801.675507
397	801.5818358
398	801.4870951
399	801.3134869
400	801.2342385
401	801.1536871
402	801.0190394
403	800.9361135
404	800.8116318
405	800.693515
406	800.5022683
407	800.3632312
408	800.2431611
409	800.0976656
410	800.0060798
411	799.8657484
412	799.7095216
413	799.6238371
414	799.5005915
415	799.4280236
416	799.3164577
417	799.1672232
418	798.9823621
419	798.8764928
420	798.7472522
421	798.5526459
422	798.3984516
423	798.3294851
424	798.1720434
425	798.0361869
426	797.8666751
427	797.7191332
428	797.6071534
429	797.4564416
430	797.4128369
431	797.2847522
432	797.1470453
433	796.9739425
434	796.8694713
435	796.7248223
436	796.614289
437	796.5090429
438	796.3805041
439	796.2544106
440	796.1243621
441	795.9936161
442	795.9281425
443	795.8468048
444	795.7393824
445	795.5808816
446	795.4278822
447	795.3308328
448	795.2080185
449	795.1060267
450	794.9701795
451	794.8623979
452	794.7692174
453	794.6311191
454	794.465617
455	794.3393245
456	794.2052073
457	794.0734229
458	793.9139936
459	793.8139144
460	793.7063957
461	793.6233262
462	793.4903102
463	793.3847704
464	793.2888909
465	793.117383
466	792.9813302
467	792.8904006
468	792.824927
469	792.6909266
470	792.5714944
471	792.4719335
472	792.3502184
473	792.2280732
474	792.1037139
475	792.0318907
476	791.8959517
477	791.7553249
478	791.6412897
479	791.5044258
480	791.4048722
481	791.2583881
482	791.1497252
483	791.0132767
484	790.9275168
485	790.768605
486	790.6592731
487	790.4954971
488	790.404424
489	790.2751174
490	790.1819709
491	790.064828
492	789.9319497
493	789.8129929
494	789.6869595
495	789.5840597
496	789.4889216
497	789.3852268
498	789.2321648
499	789.1299578
500	788.9983411
501	788.8732168
502	788.7533138
503	788.6690536
504	788.5239121
505	788.4337972
506	788.330808
507	788.1685356
508	788.0801354
509	787.9483941
510	787.7889615
511	787.690106
512	787.5966114
513	787.477087
514	787.3531676
515	787.2718589
516	787.0982632
517	787.0125624
518	786.9216404
519	786.8088139
520	786.7317101
521	786.63229
522	786.5224055
523	786.4507893
524	786.3498217
525	786.2330263
526	786.1360247
527	786.0038956
528	785.8815544
529	785.7697539
530	785.6087905
531	785.492345
532	785.3567694
533	785.2741864
534	785.1745929
535	785.0217277
536	784.8989163
537	784.7733017
538	784.6341264
539	784.4714237
540	784.3886176
541	784.2589299
542	784.1450698
543	784.0352116
544	783.9095588
545	783.804672
546	783.6666955
547	783.5680803
548	783.4467398
549	783.3217344
550	783.2085842
551	783.1004484
552	782.9632694
553	782.8576507
554	782.7362266
555	782.644925
556	782.5015051
557	782.3940054
558	782.2716671
559	782.1391655
560	782.0380846
561	781.9155847
562	781.8153012
563	781.706334
564	781.5670936
565	781.4492655
566	781.3169123
567	781.1360814
568	781.0281285
569	780.9047478
570	780.7555271
571	780.6369797
572	780.5258508
573	780.4143263
574	780.3000571
575	780.1877019
576	780.0590767
577	779.958476
578	779.8129918
579	779.7025661
580	779.6171936
581	779.5303053
582	779.3949314
583	779.3028006
584	779.213046
585	779.1094755
586	778.9820839
587	778.9134857
588	778.7952693
589	778.7052724
590	778.550003
591	778.4698767
592	778.3516899
593	778.2621045
594	778.1251609
595	778.0132401
596	777.9288413
597	777.814415
598	777.7043079
599	777.5706599
600	777.4570126
601	777.3604827
602	777.2621995
603	777.1976015
604	777.0727119
605	776.9800964
606	776.8745578
607	776.7885437
608	776.6660047
609	776.5525728
610	776.4269544
611	776.3389309
612	776.2622119
613	776.1772439
614	776.0670789
615	775.9757499
616	775.8462717
617	775.7072057
618	775.5552588
619	775.4607786
620	775.3441999
621	775.2603181
622	775.1457865
623	774.956892
624	774.8333566
625	774.751396
626	774.6165577
627	774.5177015
628	774.4060394
629	774.2987513
630	774.141424
631	774.0037969
632	773.9342505
633	773.8258211
634	773.7270297
635	773.6324012
636	773.5679483
637	773.4669455
638	773.3799248
639	773.2713408
640	773.1287293
641	773.0254137
642	772.8907568
643	772.7943758
644	772.7106136
645	772.6168659
646	772.52024
647	772.4245816
648	772.333954
649	772.1983822
650	772.0930575
651	771.9601298
652	771.8617798
653	771.7498416
654	771.6169047
655	771.5490606
656	771.4794971
657	771.409806
658	771.3229828
659	771.2652384
660	771.1559834
661	771.034806
662	770.9138634
663	770.7932272
664	770.6980745
665	770.6011342
666	770.469503
667	770.4115344
668	770.3124123
669	770.2036161
670	770.0841295
671	769.9872919
672	769.8845729
673	769.8140157
674	769.7306472
675	769.6279493
676	769.5434101
677	769.3358972
678	769.2656992
679	769.0908033
680	768.9578658
681	768.8525362
682	768.7560724
683	768.641221
684	768.5291128
685	768.4099869
686	768.3199127
687	768.2277854
688	768.0995471
689	767.9896594
690	767.9220151
691	767.8289274
692	767.7211108
693	767.6020829
694	767.5198465
695	767.4031542
696	767.2883947
697	767.2167678
698	767.1152554
699	767.0427017
700	766.944514
701	766.8465795
702	766.7233224
703	766.6373238
704	766.5502963
705	766.4261701
706	766.3381424
707	766.2547282
708	766.1695766
709	766.0599842
710	765.9699932
711	765.8045099
712	765.7025427
713	765.6074401
714	765.5025456
715	765.3782365
716	765.2798655
717	765.1291972
718	765.033392
719	764.8734209
720	764.7136114
721	764.6247929
722	764.4957025
723	764.3408364
724	764.2266266
725	764.0910993
726	763.9733151
727	763.877389
728	763.8138404
729	763.7145927
730	763.597614
731	763.462765
732	763.3569772
733	763.2797333
734	763.2040329
735	763.1059648
736	762.9750906
737	762.8624816
738	762.7894927
739	762.6668195
740	762.5810444
741	762.5094357
742	762.4383437
743	762.3078168
744	762.1868593
745	762.1163018
746	762.0238409
747	761.9609852
748	761.8491474
749	761.7420271
750	761.6350607
751	761.5315148
752	761.3864491
753	761.2914176
754	761.1805088
755	761.0750941
756	760.9517914
757	760.807601
758	760.6655587
759	760.5617837
760	760.4547065
761	760.3455473
762	760.2578044
763	760.1422878
764	760.0388193
765	759.8906654
766	759.8225123
767	759.7470353
768	759.6900167
769	759.6117784
770	759.5021806
771	759.4206168
772	759.3450093
773	759.2865724
774	759.1882375
775	759.0695273
776	758.9685724
777	758.890073
778	758.8055093
779	758.7142052
780	758.6495877
781	758.5155508
782	758.4236051
783	758.3273351
784	758.2267793
785	758.1459662
786	758.0481681
787	757.9352855
788	757.8711458
789	757.7920772
790	757.6865361
791	757.5750178
792	757.4917323
793	757.4099878
794	757.3114331
795	757.1842007
796	757.0525302
797	756.9722904
798	756.865583
799	756.7454476
800	756.6433621
801	756.5571132
802	756.461678
803	756.3528968
804	756.2182437
805	756.0692342
806	755.9367432
807	755.8134242
808	755.750763
809	755.6448146
810	755.5321577
811	755.4116235
812	755.3024509
813	755.2081335
814	755.1085121
815	754.9681614
816	754.8925045
817	754.7937645
818	754.6924453
819	754.5602273
820	754.4669324
821	754.3925049
822	754.2669799
823	754.1853885
824	754.0720513
825	753.9839631
826	753.8616078
827	753.7643141
828	753.6748536
829	753.586553
830	753.4885436
831	753.3930406
832	753.2953326
833	753.1264607
834	753.0580622
835	752.9651266
836	752.8581315
837	752.7607673
838	752.6789984
839	752.5690727
840	752.5039846
841	752.4210002
842	752.3080898
843	752.1997944
844	752.0986182
845	752.0454589
846	751.928432
847	751.8350355
848	751.7532259
849	751.6601757
850	751.5787398
851	751.4913363
852	751.395785
853	751.2709064
854	751.1862871
855	751.1107825
856	751.0157926
857	750.927304
858	750.8229775
859	750.7292119
860	750.5949832
861	750.4972176
862	750.4175584
863	750.2888395
864	750.2125022
865	750.1435945
866	750.0411231
867	749.9513862
868	749.8452239
869	749.7316405
870	749.6514091
871	749.5427384
872	749.4304382
873	749.3479374
874	749.2210604
875	749.1427815
876	749.0822142
877	748.9868708
878	748.9109703
879	748.8187586
880	748.7123404
881	748.6277723
882	748.5032006
883	748.3832438
884	748.3104172
885	748.2390991
886	748.1538698
887	748.0743482
888	747.9765629
889	747.9029268
890	747.8059114
891	747.7226052
892	747.6072926
893	747.5336342
894	747.3814507
895	747.3237529
896	747.2488305
897	747.0977191
898	747.0249003
899	746.902977
900	746.8362951
901	746.7275237
902	746.6321207
903	746.5491626
904	746.4392021
905	746.3333017
906	746.2643262
907	746.1559861
908	746.0786627
909	745.9619877
910	745.881522
911	745.7679007
912	745.6828897
913	745.6198876
914	745.5623995
915	745.4134937
916	745.3007431
917	745.2190154
918	745.1357463
919	745.0034294
920	744.8919122
921	744.7536379
922	744.6870784
923	744.5899733
924	744.4961397
925	744.4106242
926	744.2992665
927	744.2463117
928	744.1469445
929	744.0617182
930	743.9941688
931	743.8669565
932	743.7873766
933	743.6896759
934	743.6165266
935	743.493234
936	743.4098595
937	743.3473074
938	743.2901181
939	743.2263631
940	743.1215648
941	743.0130974
942	742.8916317
943	742.8044671
944	742.6980211
945	742.5906814
946	742.5248391
947	742.4199683
948	742.2825084
949	742.1714009
950	742.1193924
951	742.0083276
952	741.9386447
953	741.8663611
954	741.8073326
955	741.7012988
956	741.6469798
957	741.5150256
958	741.4269351
959	741.3674209
960	741.2814711
961	741.1898772
962	741.099495
963	741.0198003
964	740.9210531
965	740.7958101
966	740.7143864
967	740.635379
968	740.5764277
969	740.5216094
970	740.4358153
971	740.3740135
972	740.2609661
973	740.1739771
974	740.0920583
975	740.0162691
976	739.941844
977	739.8550679
978	739.7611548
979	739.6895433
980	739.564589
981	739.4753919
982	739.3969537
983	739.3170237
984	739.2504765
985	739.0855968
986	738.9802833
987	738.9066199
988	738.7742789
989	738.6912866
990	738.6091627
991	738.5118161
992	738.4272005
993	738.3183596
994	738.1640564
995	738.0601912
996	737.9421652
997	737.8432803
998	737.7553375
999	737.6324689
